pattern,support,variants,predicted_next_events,contexts,outcomes
"{U13,U22}",19,"{U04,U24}:1;{U22,U38}:1;{U10,U13}:1;{U17,U22}:1;{U14,U22}:1;{U17,U35}:1;{U22,U33}:1;{U13,U15}:1;{U08,U28}:1;{U11,U37}:1;{U26,U30}:1;{U18,U32}:1;{U24,U28}:1;{U12,U30}:1;{U25,U32}:1","{U04,U24};{U22,U38};{U10,U13};{U17,U22};{U14,U22};{U17,U35};{U22,U33};{U13,U15};{U08,U28};{U11,U37};{U26,U30};{U18,U32};{U24,U28};{U12,U30};{U25,U32}",CTX_0053:2;CTX_0058:2;CTX_0004:1;CTX_0013:1;CTX_0027:1;CTX_0031:1;CTX_0035:1;CTX_0071:1;CTX_0080:1;CTX_0112:1;CTX_0152:1;CTX_0167:1;CTX_0176:1;CTX_0179:1;CTX_0182:1;CTX_0187:1;CTX_0195:1,OUT_0053:2;OUT_0058:2;OUT_0004:1;OUT_0013:1;OUT_0027:1;OUT_0031:1;OUT_0035:1;OUT_0071:1;OUT_0080:1;OUT_0112:1;OUT_0152:1;OUT_0167:1;OUT_0176:1;OUT_0179:1;OUT_0182:1;OUT_0187:1;OUT_0195:1
"{U05,U34}",19,"{U34,U37}:1;{U09,U30}:1;{U05,U20}:1;{U05,U13}:1;{U15,U34}:1;{U19,U25}:1;{U03,U35}:1;{U12,U25}:1;{U05,U07}:1;{U18,U31}:1;{U08,U28}:1;{U16,U19}:1;{U07,U29}:1;{U05,U32}:1;{U13,U22}:1","{U34,U37};{U09,U30};{U05,U20};{U05,U13};{U15,U34};{U19,U25};{U03,U35};{U12,U25};{U05,U07};{U18,U31};{U08,U28};{U16,U19};{U07,U29};{U05,U32};{U13,U22}",CTX_0141:2;CTX_0005:1;CTX_0017:1;CTX_0033:1;CTX_0041:1;CTX_0042:1;CTX_0047:1;CTX_0048:1;CTX_0054:1;CTX_0066:1;CTX_0082:1;CTX_0084:1;CTX_0094:1;CTX_0101:1;CTX_0118:1;CTX_0135:1;CTX_0167:1;CTX_0178:1,OUT_0141:2;OUT_0005:1;OUT_0017:1;OUT_0033:1;OUT_0041:1;OUT_0042:1;OUT_0047:1;OUT_0048:1;OUT_0054:1;OUT_0066:1;OUT_0082:1;OUT_0084:1;OUT_0094:1;OUT_0101:1;OUT_0118:1;OUT_0135:1;OUT_0167:1;OUT_0178:1
"{U06,U33}",19,"{U16,U19}:1;{U20,U33}:1;{U02,U14}:1;{U07,U31}:1;{U05,U12}:1;{U07,U26}:1;{U06,U22}:1;{U05,U34}:1;{U00,U11}:1;{U07,U22}:1;{U00,U18}:1;{U05,U37}:1;{U00,U06}:1;{U33,U39}:1;{U12,U35}:1;{U14,U29}:1;{U10,U28}:1;{U27,U28}:1","{U16,U19};{U20,U33};{U02,U14};{U07,U31};{U05,U12};{U07,U26};{U06,U22};{U05,U34};{U00,U11};{U07,U22};{U00,U18};{U05,U37};{U00,U06};{U33,U39};{U12,U35};{U14,U29};{U10,U28};{U27,U28}",CTX_0082:2;CTX_0010:1;CTX_0013:1;CTX_0023:1;CTX_0038:1;CTX_0042:1;CTX_0050:1;CTX_0068:1;CTX_0079:1;CTX_0088:1;CTX_0100:1;CTX_0141:1;CTX_0144:1;CTX_0171:1;CTX_0173:1;CTX_0188:1;CTX_0195:1;CTX_0198:1,OUT_0082:2;OUT_0010:1;OUT_0013:1;OUT_0023:1;OUT_0038:1;OUT_0042:1;OUT_0050:1;OUT_0068:1;OUT_0079:1;OUT_0088:1;OUT_0100:1;OUT_0141:1;OUT_0144:1;OUT_0171:1;OUT_0173:1;OUT_0188:1;OUT_0195:1;OUT_0198:1
"{U08,U28}",19,"{U09,U36}:2;{U00,U08}:1;{U00,U36}:1;{U35,U37}:1;{U00,U11}:1;{U11,U24}:1;{U05,U18}:1;{U01,U32}:1;{U20,U28}:1;{U08,U12}:1;{U01,U03}:1;{U27,U28}:1;{U09,U37}:1;{U13,U21}:1;{U02,U13}:1","{U09,U36};{U00,U08};{U00,U36};{U35,U37};{U00,U11};{U11,U24};{U05,U18};{U01,U32};{U20,U28};{U08,U12};{U01,U03};{U27,U28};{U09,U37};{U13,U21};{U02,U13}",CTX_0071:2;CTX_0029:1;CTX_0033:1;CTX_0055:1;CTX_0057:1;CTX_0061:1;CTX_0101:1;CTX_0127:1;CTX_0132:1;CTX_0136:1;CTX_0140:1;CTX_0147:1;CTX_0153:1;CTX_0162:1;CTX_0169:1;CTX_0174:1;CTX_0175:1;CTX_0195:1,OUT_0071:2;OUT_0029:1;OUT_0033:1;OUT_0055:1;OUT_0057:1;OUT_0061:1;OUT_0101:1;OUT_0127:1;OUT_0132:1;OUT_0136:1;OUT_0140:1;OUT_0147:1;OUT_0153:1;OUT_0162:1;OUT_0169:1;OUT_0174:1;OUT_0175:1;OUT_0195:1
"{U09,U30}",18,"{U13,U22}:1;{U07,U09}:1;{U09,U35}:1;{U07,U19}:1;{U18,U31}:1;{U01,U19}:1;{U00,U25}:1;{U05,U33}:1;{U11,U26}:1;{U29,U35}:1;{U26,U39}:1;{U10,U30}:1;{U02,U05}:1;{U25,U30}:1;{U09,U25}:1;{U00,U18}:1;{U08,U28}:1","{U13,U22};{U07,U09};{U09,U35};{U07,U19};{U18,U31};{U01,U19};{U00,U25};{U05,U33};{U11,U26};{U29,U35};{U26,U39};{U10,U30};{U02,U05};{U25,U30};{U09,U25};{U00,U18};{U08,U28}",CTX_0004:1;CTX_0009:1;CTX_0037:1;CTX_0041:1;CTX_0049:1;CTX_0054:1;CTX_0069:1;CTX_0078:1;CTX_0084:1;CTX_0095:1;CTX_0103:1;CTX_0127:1;CTX_0134:1;CTX_0136:1;CTX_0143:1;CTX_0155:1;CTX_0164:1;CTX_0169:1,OUT_0004:1;OUT_0009:1;OUT_0037:1;OUT_0041:1;OUT_0049:1;OUT_0054:1;OUT_0069:1;OUT_0078:1;OUT_0084:1;OUT_0095:1;OUT_0103:1;OUT_0127:1;OUT_0134:1;OUT_0136:1;OUT_0143:1;OUT_0155:1;OUT_0164:1;OUT_0169:1
"{U01,U03}",18,"{U10,U27}:1;{U19,U36}:1;{U12,U30}:1;{U09,U32}:1;{U11,U36}:1;{U03,U32}:1;{U00,U02}:1;{U21,U27}:1;{U20,U31}:1;{U01,U10}:1;{U19,U39}:1;{U15,U17}:1;{U16,U23}:1;{U01,U28}:1;{U05,U30}:1;{U20,U22}:1","{U10,U27};{U19,U36};{U12,U30};{U09,U32};{U11,U36};{U03,U32};{U00,U02};{U21,U27};{U20,U31};{U01,U10};{U19,U39};{U15,U17};{U16,U23};{U01,U28};{U05,U30};{U20,U22}",CTX_0020:1;CTX_0023:1;CTX_0029:1;CTX_0040:1;CTX_0041:1;CTX_0063:1;CTX_0066:1;CTX_0069:1;CTX_0071:1;CTX_0106:1;CTX_0115:1;CTX_0140:1;CTX_0153:1;CTX_0155:1;CTX_0170:1;CTX_0185:1;CTX_0192:1;CTX_0193:1,OUT_0020:1;OUT_0023:1;OUT_0029:1;OUT_0040:1;OUT_0041:1;OUT_0063:1;OUT_0066:1;OUT_0069:1;OUT_0071:1;OUT_0106:1;OUT_0115:1;OUT_0140:1;OUT_0153:1;OUT_0155:1;OUT_0170:1;OUT_0185:1;OUT_0192:1;OUT_0193:1
"{U05,U13}",16,"{U15,U38}:1;{U21,U34}:1;{U23,U24}:1;{U10,U18}:1;{U00,U19}:1;{U05,U17}:1;{U05,U14}:1;{U01,U14}:1;{U27,U37}:1;{U21,U25}:1;{U07,U15}:1;{U04,U05}:1;{U03,U29}:1;{U02,U31}:1;{U03,U13}:1;{U15,U21}:1","{U15,U38};{U21,U34};{U23,U24};{U10,U18};{U00,U19};{U05,U17};{U05,U14};{U01,U14};{U27,U37};{U21,U25};{U07,U15};{U04,U05};{U03,U29};{U02,U31};{U03,U13};{U15,U21}",CTX_0046:2;CTX_0047:2;CTX_0000:1;CTX_0021:1;CTX_0042:1;CTX_0073:1;CTX_0074:1;CTX_0081:1;CTX_0124:1;CTX_0125:1;CTX_0135:1;CTX_0154:1;CTX_0176:1;CTX_0178:1,OUT_0046:2;OUT_0047:2;OUT_0000:1;OUT_0021:1;OUT_0042:1;OUT_0073:1;OUT_0074:1;OUT_0081:1;OUT_0124:1;OUT_0125:1;OUT_0135:1;OUT_0154:1;OUT_0176:1;OUT_0178:1
"{U11,U14}",16,"{U27,U28}:1;{U16,U39}:1;{U13,U33}:1;{U04,U14}:1;{U26,U31}:1;{U14,U18}:1;{U14,U29}:1;{U05,U14}:1;{U03,U11}:1;{U03,U26}:1;{U11,U33}:1;{U01,U14}:1;{U13,U36}:1;{U08,U28}:1;{U02,U32}:1;{U05,U12}:1","{U27,U28};{U16,U39};{U13,U33};{U04,U14};{U26,U31};{U14,U18};{U14,U29};{U05,U14};{U03,U11};{U03,U26};{U11,U33};{U01,U14};{U13,U36};{U08,U28};{U02,U32};{U05,U12}",CTX_0017:2;CTX_0001:1;CTX_0012:1;CTX_0024:1;CTX_0036:1;CTX_0039:1;CTX_0067:1;CTX_0075:1;CTX_0089:1;CTX_0121:1;CTX_0127:1;CTX_0148:1;CTX_0153:1;CTX_0170:1;CTX_0179:1,OUT_0017:2;OUT_0001:1;OUT_0012:1;OUT_0024:1;OUT_0036:1;OUT_0039:1;OUT_0067:1;OUT_0075:1;OUT_0089:1;OUT_0121:1;OUT_0127:1;OUT_0148:1;OUT_0153:1;OUT_0170:1;OUT_0179:1
"{U03,U11}",16,"{U24,U30}:1;{U27,U36}:1;{U05,U19}:1;{U03,U20}:1;{U10,U17}:1;{U12,U38}:1;{U13,U30}:1;{U03,U39}:1;{U06,U32}:1;{U01,U18}:1;{U31,U33}:1;{U04,U21}:1;{U11,U26}:1;{U02,U19}:1;{U03,U26}:1","{U24,U30};{U27,U36};{U05,U19};{U03,U20};{U10,U17};{U12,U38};{U13,U30};{U03,U39};{U06,U32};{U01,U18};{U31,U33};{U04,U21};{U11,U26};{U02,U19};{U03,U26}",CTX_0187:2;CTX_0002:1;CTX_0025:1;CTX_0030:1;CTX_0044:1;CTX_0075:1;CTX_0090:1;CTX_0101:1;CTX_0107:1;CTX_0108:1;CTX_0110:1;CTX_0121:1;CTX_0146:1;CTX_0180:1;CTX_0194:1,OUT_0187:2;OUT_0002:1;OUT_0025:1;OUT_0030:1;OUT_0044:1;OUT_0075:1;OUT_0090:1;OUT_0101:1;OUT_0107:1;OUT_0108:1;OUT_0110:1;OUT_0121:1;OUT_0146:1;OUT_0180:1;OUT_0194:1
"{U05,U07}",16,"{U20,U34}:1;{U04,U33}:1;{U16,U24}:1;{U05,U18}:1;{U05,U37}:1;{U05,U29}:1;{U26,U39}:1;{U30,U33}:1;{U12,U20}:1;{U00,U31}:1;{U07,U15}:1;{U05,U33}:1;{U07,U16}:1;{U14,U18}:1","{U20,U34};{U04,U33};{U16,U24};{U05,U18};{U05,U37};{U05,U29};{U26,U39};{U30,U33};{U12,U20};{U00,U31};{U07,U15};{U05,U33};{U07,U16};{U14,U18}",CTX_0096:2;CTX_0005:1;CTX_0021:1;CTX_0022:1;CTX_0026:1;CTX_0029:1;CTX_0044:1;CTX_0048:1;CTX_0083:1;CTX_0084:1;CTX_0102:1;CTX_0117:1;CTX_0118:1;CTX_0143:1;CTX_0181:1,OUT_0096:2;OUT_0005:1;OUT_0021:1;OUT_0022:1;OUT_0026:1;OUT_0029:1;OUT_0044:1;OUT_0048:1;OUT_0083:1;OUT_0084:1;OUT_0102:1;OUT_0117:1;OUT_0118:1;OUT_0143:1;OUT_0181:1
