pattern,support,variants,predicted_next_events,contexts,outcomes
"{A,B,E}",20,"{B,E}:5;{B,C}:5;{E,F}:4;{B,E,G}:2;{E,G}:1;{B,D,E,G}:1;{B,C,F}:1;{A,B}:1","{B,E};{B,C};{E,F};{B,E,G};{E,G};{B,D,E,G};{B,C,F};{A,B}",Z:13;X:7,Y2:13;Y1:7
"{A,B,D}",16,"{A,B}:5;{B,E}:2;{B,C}:2;{A,B,E}:2;{A,E,G}:1;{A,B,F}:1;{C,E}:1;{B,C,F}:1;{B,D,E}:1","{A,B};{B,E};{B,C};{A,B,E};{A,E,G};{A,B,F};{C,E};{B,C,F};{B,D,E}",Z:8;X:6;N:2,Y2:8;Y1:6;YN:2
"{B,C,E}",14,"{E,F}:4;{C,D,G}:2;{C,E}:2;{C,D}:2;{B,C}:1;{B,G}:1;{B,E}:1;{A,B,E,H}:1","{E,F};{C,D,G};{C,E};{C,D};{B,C};{B,G};{B,E};{A,B,E,H}",Z:7;X:5;N:2,Y2:7;Y1:5;YN:2
"{A,B,F}",14,"{B,E}:5;{B,C}:4;{A,B}:2;{A,D}:1;{B,C,G}:1;{A,B,E}:1","{B,E};{B,C};{A,B};{A,D};{B,C,G};{A,B,E}",X:7;Z:6;N:1,Y1:7;Y2:6;YN:1
"{A,B,G}",12,"{A,B}:6;{B,C}:2;{A,B,C}:1;{A,B,E}:1;{A,B,D}:1;{B,E}:1","{A,B};{B,C};{A,B,C};{A,B,E};{A,B,D};{B,E}",X:7;Z:4;N:1,Y1:7;Y2:4;YN:1
"{C,D,G}",12,"{C,D}:4;{D,G}:1;{A,G}:1;{D,F}:1;{A,C,D,E}:1","{C,D};{D,G};{A,G};{D,F};{A,C,D,E}",X:9;N:3,Y1:9;YN:3
"{B,E,F}",10,"{E,F}:4;{B,C,E}:2","{E,F};{B,C,E}",Z:9;X:1,Y2:9;Y1:1
"{A,B,C} -> {B,C}",10,"{C,D}:3;{B,C,F}:2;{B,H}:1;{C,D,F,G}:1;{B,C,H}:1;{B,C,G}:1;{B,C}:1","{C,D};{B,C,F};{B,H};{C,D,F,G};{B,C,H};{B,C,G};{B,C}",X:10,Y1:10
"{A,B} -> {A,B,C}",10,"{B,C}:6;{A,B,F}:1;{A,B,C}:1;{B,C,E}:1;{A,B,E}:1","{B,C};{A,B,F};{A,B,C};{B,C,E};{A,B,E}",X:7;Z:3,Y1:7;Y2:3
"{D,E}",10,"{C,D}:2;{A,C}:1;{E,F}:1;{B,E,H}:1","{C,D};{A,C};{E,F};{B,E,H}",N:5;Z:3;X:2,YN:5;Y2:3;Y1:2
"{C,E}",9,"{C,E,G}:1;{D,G}:1;{B,E,H}:1;{E,G}:1;{A,F}:1;{B,E}:1;{B,E,F}:1","{C,E,G};{D,G};{B,E,H};{E,G};{A,F};{B,E};{B,E,F}",N:6;Z:3,YN:6;Y2:3
"{B,D,E}",9,"{E,F}:4;{B,E}:4;{B,C,E,F}:1","{E,F};{B,E};{B,C,E,F}",Z:9,Y2:9
"{B,C,F}",9,"{B,C}:4;{C,D}:2;{B,C,E}:1;{A,C,D}:1;{C,D,E}:1","{B,C};{C,D};{B,C,E};{A,C,D};{C,D,E}",X:8;N:1,Y1:8;YN:1
"{A,B} -> {A,B,F}",9,"{B,C}:4;{B,E}:3;{B,C,G}:1;{A,B,E}:1","{B,C};{B,E};{B,C,G};{A,B,E}",X:5;Z:4,Y1:5;Y2:4
"{E,F,H}",9,"{E,F}:2","{E,F}",Z:9,Y2:9
"{A,B} -> {A,B,E}",9,"{B,C}:4;{B,E}:2;{E,G}:1;{B,D,E,G}:1;{B,E,G}:1","{B,C};{B,E};{E,G};{B,D,E,G};{B,E,G}",X:5;Z:4,Y1:5;Y2:4
"{B,C,G}",8,"{B,C}:3;{C,D}:2;{B,H}:1;{B,G}:1;{D,E}:1","{B,C};{C,D};{B,H};{B,G};{D,E}",X:6;N:2,Y1:6;YN:2
"{C,H}",8,"{B,C}:2;{A,H}:1;{D,H}:1;{A,B,E}:1;{B,C,F}:1","{B,C};{A,H};{D,H};{A,B,E};{B,C,F}",N:4;X:2;Z:2,YN:4;Y1:2;Y2:2
"{A,B,H}",8,"{A,B}:2;{A,B,C}:2;{B,E}:2;{B,C}:1;{A,B,C,D,E,H}:1","{A,B};{A,B,C};{B,E};{B,C};{A,B,C,D,E,H}",X:5;Z:3,Y1:5;Y2:3
"{A,B} -> {A,B,D}",8,"{B,C}:2;{A,B,E}:2;{B,E}:1;{A,B,F}:1;{C,E}:1;{B,D,E}:1","{B,C};{A,B,E};{B,E};{A,B,F};{C,E};{B,D,E}",Z:4;X:4,Y2:4;Y1:4
"{B,E,H}",8,"{B,E}:3;{E,H}:2;{E,F}:1;{G,H}:1;{E,F,H}:1","{B,E};{E,H};{E,F};{G,H};{E,F,H}",Z:7;N:1,Y2:7;YN:1
"{D,E,F}",8,"{C,G}:1;{E,F,H}:1;{B,D,E,F}:1;{B,E}:1","{C,G};{E,F,H};{B,D,E,F};{B,E}",Z:8,Y2:8
"{E,F} -> {D,E,F}",8,"{C,G}:1;{E,F,H}:1;{B,D,E,F}:1;{B,E}:1","{C,G};{E,F,H};{B,D,E,F};{B,E}",Z:8,Y2:8
"{A,B} -> {B,E} -> {E,F}",8,"{D,E,F}:4;{E,F,H}:1;{E,F}:1;{B,E,F}:1","{D,E,F};{E,F,H};{E,F};{B,E,F}",Z:8,Y2:8
"{C,D,E}",7,"{C,D}:1","{C,D}",X:7,Y1:7
"{D,H}",7,"{C,H}:1;{A,C}:1;{C,D,G}:1;{B,C,D}:1","{C,H};{A,C};{C,D,G};{B,C,D}",X:4;N:3,Y1:4;YN:3
"{C,D,H}",7,"{C,D}:1","{C,D}",X:7,Y1:7
"{A,H}",7,"{C,D}:2;{A,G,H}:1;{A,C,E}:1;{B,E}:1;{A,B}:1","{C,D};{A,G,H};{A,C,E};{B,E};{A,B}",Z:3;N:2;X:2,Y2:3;YN:2;Y1:2
"{A,E,F}",7,"{E,F}:4","{E,F}",Z:7,Y2:7
"{A,C}",7,"{E,H}:1;{B,C}:1;{A,E}:1;{A,C}:1;{A,B,C}:1;{A,C,F,H}:1","{E,H};{B,C};{A,E};{A,C};{A,B,C};{A,C,F,H}",N:5;X:1;Z:1,YN:5;Y1:1;Y2:1
"{B,C,D}",7,"{C,D}:4;{B,C}:1","{C,D};{B,C}",X:6;N:1,Y1:6;YN:1
"{B,E,G}",7,"{E,F}:4;{B,E}:2;{C,E}:1","{E,F};{B,E};{C,E}",Z:6;N:1,Y2:6;YN:1
"{B,G}",6,"{E,F}:2;{B,D,H}:1;{B,C,G}:1;{A,B}:1;{A,D}:1","{E,F};{B,D,H};{B,C,G};{A,B};{A,D}",Z:3;N:3,Y2:3;YN:3
"{A,B,G} -> {A,B}",6,"{B,C}:1;{B,E}:1;{A,B,F}:1;{A,B,C,H}:1;{A,B,C}:1;{D,G}:1","{B,C};{B,E};{A,B,F};{A,B,C,H};{A,B,C};{D,G}",X:4;Z:2,Y1:4;Y2:2
"{C,F}",6,"{B,C,D,F}:1;{C,D,F}:1;{C,F,G}:1;{B,E}:1","{B,C,D,F};{C,D,F};{C,F,G};{B,E}",N:4;Z:1;X:1,YN:4;Y2:1;Y1:1
"{G,H}",6,"{A,E}:1;{D,G,H}:1;{E,F}:1;{B,E,F,H}:1","{A,E};{D,G,H};{E,F};{B,E,F,H}",N:4;Z:2,YN:4;Y2:2
"{A,B} -> {A,B,C} -> {B,C}",6,"{B,C,F}:2;{C,D,F,G}:1;{B,C,H}:1;{B,C,G}:1;{B,C}:1","{B,C,F};{C,D,F,G};{B,C,H};{B,C,G};{B,C}",X:6,Y1:6
"{A,B} -> {B,C} -> {C,D}",6,"{A,B,C,D}:1;{C,D,H}:1;{C,D,G}:1;{B,D}:1","{A,B,C,D};{C,D,H};{C,D,G};{B,D}",X:6,Y1:6
"{B,E} -> {E,F} -> {D,E,F}",6,"{B,D,E,F}:1;{B,E}:1","{B,D,E,F};{B,E}",Z:6,Y2:6
"{E,F} -> {E,F,H}",6,,,Z:6,Y2:6
"{C,D} -> {C,D,E}",5,,,X:5,Y1:5
"{B,D}",5,"{C,D}:1;{D,E}:1;{A,B}:1","{C,D};{D,E};{A,B}",X:3;N:2,Y1:3;YN:2
"{B,E} -> {B,E,F}",5,"{E,F}:3;{B,C,E}:2","{E,F};{B,C,E}",Z:5,Y2:5
"{A,B} -> {A,B,G}",5,"{B,C}:2;{A,B,C}:1;{A,B,D}:1;{B,E}:1","{B,C};{A,B,C};{A,B,D};{B,E}",X:3;N:1;Z:1,Y1:3;YN:1;Y2:1
"{B,E} -> {B,D,E}",5,"{E,F}:4;{B,C,E,F}:1","{E,F};{B,C,E,F}",Z:5,Y2:5
"{B,C} -> {B,C,F}",5,"{C,D}:2;{B,C,E}:1;{A,C,D}:1;{C,D,E}:1","{C,D};{B,C,E};{A,C,D};{C,D,E}",X:5,Y1:5
"{A,B,F} -> {B,E}",5,"{E,F}:2;{A,E,F}:1;{B,D,E}:1;{A,B,E}:1","{E,F};{A,E,F};{B,D,E};{A,B,E}",Z:5,Y2:5
"{A,B} -> {A,B,H}",5,"{B,E}:2;{B,C}:1;{A,B,C,D,E,H}:1;{A,B,C}:1","{B,E};{B,C};{A,B,C,D,E,H};{A,B,C}",X:3;Z:2,Y1:3;Y2:2
"{C,D,F}",5,"{C,F}:2","{C,F}",X:3;N:2,Y1:3;YN:2
"{A,D}",5,"{A,B}:1;{A,D,E}:1;{A,C,D}:1;{D,E}:1;{C,D}:1","{A,B};{A,D,E};{A,C,D};{D,E};{C,D}",N:4;X:1,YN:4;Y1:1
"{A,B,E} -> {B,E}",5,"{B,E,H}:1;{B,C,E}:1;{B,E,F}:1;{E,F,H}:1;{B,D,E}:1","{B,E,H};{B,C,E};{B,E,F};{E,F,H};{B,D,E}",Z:5,Y2:5
"{C,D} -> {C,D,H}",5,,,X:5,Y1:5
