case_id,scale_id,sequence_length,classifier_mode,seed,expectation,episode_count,event_count,transition_count,motif_count,length3_motif_count,length3_support_mass,length3_top_support,length3_top_support_fraction,recurring_length3_fraction,full_sequence_motif_count,full_sequence_support_mass,full_sequence_top_support,full_sequence_top_support_fraction,recurring_full_sequence_fraction,length3_index_status_counts,full_sequence_index_status_counts,length3_background_recurrence_count,length3_ambiguous_evidence_count,full_sequence_background_recurrence_count,full_sequence_ambiguous_evidence_count,repeated_episode_instance_fraction,event_label_redundancy_fraction,transition_redundancy_fraction,compressibility_index,event_history_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,length3_outcome_purity_max,length3_outcome_purity_mean,length3_context_purity_max,length3_context_purity_mean,length3_outcome_entropy_max,length3_context_entropy_max,novelty_failure,failure_modes,evidence_index_failure,evidence_failure_modes,top5_length3_patterns,top5_full_sequence_indexed_patterns
random_small_vocab,small,3,naive_recurrence,108,chance_recurrence,60,180,120,46,3,6,2,0.033333,0.1,3,6,2,0.033333,0.1,,,0,0,0,0,0.1,0.020737,0.039283,0.05334,0.0,0.111111,0.027778,0.5,0.5,0.5,0.5,1.0,1.0,False,,False,,"{A,B} -> {E,F} -> {A,H} | {C,D} -> {E,F} -> {E,F} | {A,B} -> {F,G} -> {E,F}",
random_small_vocab,small,3,naive_recurrence,209,chance_recurrence,60,180,120,47,4,9,3,0.05,0.15,4,9,3,0.05,0.15,,,0,0,0,0,0.15,0.014327,0.039406,0.067911,0.375,0.138889,0.083333,0.5,0.458333,0.5,0.458333,1.584963,1.584963,True,chance_full_sequence_recurrence_overcompressed,False,,"{G,H} -> {F,G} -> {F,G} | {F,G} -> {G,H} -> {A,B} | {E,F} -> {E,F} -> {E,F} | {D,E} -> {B,C} -> {D,E}",
uniform_branching,small,3,naive_recurrence,7,high_branch_entropy,60,180,120,49,15,44,7,0.116667,0.733333,15,44,7,0.116667,0.733333,,,0,0,0,0,0.733333,0.118377,0.118662,0.323457,0.277778,0.0,0.222222,0.666667,0.439683,1.0,1.0,2.128085,0.0,False,low_predictive_utility,False,,"{A,B} -> {B,G} -> {I,J} | {A,B} -> {B,I} -> {M,N} | {A,B} -> {B,M} -> {M,N} | {A,B} -> {B,C} -> {G,H} | {A,B} -> {B,K} -> {M,N}",
uniform_branching,small,3,naive_recurrence,108,high_branch_entropy,60,180,120,51,16,44,5,0.083333,0.733333,16,44,5,0.083333,0.733333,,,0,0,0,0,0.733333,0.115204,0.111407,0.319981,0.166667,0.0,0.166667,1.0,0.507292,1.0,1.0,2.321928,0.0,False,low_predictive_utility,False,,"{A,B} -> {B,K} -> {I,J} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,I} -> {G,H} | {A,B} -> {B,M} -> {I,J} | {A,B} -> {B,C} -> {M,N}",
uniform_branching,small,3,naive_recurrence,209,high_branch_entropy,60,180,120,51,16,48,6,0.1,0.8,16,48,6,0.1,0.8,,,0,0,0,0,0.8,0.129074,0.107546,0.34554,0.111111,0.0,0.083333,1.0,0.551042,1.0,1.0,1.584963,0.0,False,low_predictive_utility,False,,"{A,B} -> {B,I} -> {K,L} | {A,B} -> {B,M} -> {G,H} | {A,B} -> {B,G} -> {C,D} | {A,B} -> {B,K} -> {K,L} | {A,B} -> {B,K} -> {I,J}",
unique_triplets,small,5,naive_recurrence,7,no_recurrence,60,300,240,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
unique_triplets,small,5,naive_recurrence,108,no_recurrence,60,300,240,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
unique_triplets,small,5,naive_recurrence,209,no_recurrence,60,300,240,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,5,naive_recurrence,7,partial_recurrence_only,60,300,240,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.21867,0.0,0.07289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
shared_edges_unique_middle,small,5,naive_recurrence,108,partial_recurrence_only,60,300,240,2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,,,0,0,0,0,0.0,0.21867,0.0,0.07289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,,,
