case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,repeated_episode_instance_fraction,recurring_three_event_window_fraction,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
gap_0,temporal_separation,event_gap,0.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_1,temporal_separation,event_gap,1.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_2,temporal_separation,event_gap,2.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_3,temporal_separation,event_gap,3.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,3,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
gap_5,temporal_separation,event_gap,5.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.98125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,5,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
signal_0.55,signal_separation,active_mean,0.55,expected_collapse,noncompressible_as_expected,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.55,0.05,0.03,0.01,0.0,0.0
signal_0.70,signal_separation,active_mean,0.7,expected_collapse,noncompressible_as_expected,1,0,0,,0.0,0.010969,0.0,0.99995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.7,0.05,0.03,0.01,0.0,0.0
signal_0.85,signal_separation,active_mean,0.85,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.023018,0.023018,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,0.85,0.05,0.03,0.01,0.0,0.0
signal_1.00,signal_separation,active_mean,1.0,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
signal_1.15,signal_separation,active_mean,1.15,expected_collapse,noncompressible_as_expected,600,400,0,,0.0,1.419444,0.419444,0.957417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,0.75,20,2,1.15,0.05,0.03,0.01,0.0,0.0
