seed_index,seed,world,detector_variant,detector,event_decoder,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
4,411,branch,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,463,323,48,47;43,0.716667,47;43,43,90,0.9183673469387755,0.2017,1;2,2,98,6,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {B,C} -> {B,C,D} -> {C,D} | {B,C} -> {C,D,H} -> {C,D} | {A,B} -> {B,C} -> {A,B,C}",1.289744,0.289744,0.820513,0.808511,0.020619,0.799894,0.408352,0.535519,0.6
4,411,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,432,292,34,53;52,0.866667,53;52,52,105,0.963302752293578,0.096636,1;2,2,109,4,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {A,B} | {B,C} -> {A,B} -> {C,D}",1.212179,0.212179,0.928571,0.920455,0.034091,0.894481,0.48364,0.717105,0.757143
4,411,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation,427,287,31,55;52,0.866667,55;52,52,107,1.0,0.133333,1;2,2,107,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.209615,0.209615,0.97619,0.976471,0.0,0.97619,0.490071,0.727891,0.764286
4,411,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,434,294,31,57;52,0.866667,57;52,52,109,0.923728813559322,0.057062,1;2,2,118,4,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,E}",0.558974,0.0,0.931818,0.920455,0.044444,0.887374,0.507251,0.766234,0.757143
4,411,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,552,412,80,34;48,0.566667,34;48,34,82,0.5774647887323944,0.010798,2;1,2,142,17,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {B,E} -> {E,F} -> {E,F} | {B,C} -> {C,D} -> {C,D} | {A,B} -> {A,B} -> {B,E}",0.801282,0.0,0.666667,0.75,0.033333,0.633333,0.352027,0.522059,0.485714
4,411,overlap,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,657,457,62,49;46;46,0.766667,49;46;46,46,141,0.8980891719745223,0.131422,1;2;3,3,157,11,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {B,D,G} -> {B,G} -> {E,F} | {B,H} -> {B,G} -> {E,F}",1.27703,0.27703,0.830769,0.886364,0.0,0.830769,0.455317,0.610895,0.69
4,411,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,619,419,46,57;53;53,0.883333,57;53;53,53,163,0.9209039548022598,0.037571,1;2;3,3,177,10,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,G} -> {A,B} | {A,B} -> {B,H} -> {B,G}",1.209511,0.209511,0.921875,0.936,0.0,0.921875,0.52991,0.808219,0.85
4,411,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,616,416,40,57;54;55,0.9,57;54;55,54,166,0.9651162790697675,0.065116,1;3;2,3,172,6,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,H} -> {B,G} | {B,H} -> {B,G} -> {E,F}",1.206819,0.206819,0.935484,0.943089,0.0,0.935484,0.528738,0.796296,0.845
4,411,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,630,430,42,57;52;55,0.866667,57;52;55,52,164,0.8913043478260869,0.024637,1;3;2,3,184,8,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,G} | {A,B} -> {A,B} -> {B,C}",0.558098,0.0,0.857143,0.910569,0.039683,0.81746,0.526117,0.8,0.83
4,411,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,795,595,130,43;36;36,0.6,43;36;36,36,115,0.5133928571428571,-0.086607,1;3;2,3,224,40,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,G}",0.794527,0.0,0.568182,0.692308,0.094118,0.474064,0.376747,0.567089,0.55
4,411,hostile_unique,sliding_window_low_threshold,sliding_window,none,expected_collapse,noncompressible_as_expected,963,763,78,,0.0,,0,0,0.0,0.0,,0,0,0,,0.883691,0.0,0.0,0.0,0.0,0.0,0.001535,0.0,0.0
4,411,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,expected_collapse,noncompressible_as_expected,834,634,165,,0.0,,0,0,0.0,0.0,,0,0,0,,0.696989,0.0,0.0,0.0,0.0,0.0,0.006886,0.0,0.0
4,411,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,760,560,133,,0.0,,0,0,0.0,0.0,,0,0,0,,0.663634,0.0,0.0,0.0,0.0,0.0,0.004337,0.0,0.0
4,411,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,775,575,130,,0.0,,0,0,0.0,0.0,,0,0,0,,0.286983,0.0,0.0,0.0,0.0,0.0,0.005215,0.0,0.0
4,411,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,1690,1490,528,,0.0,,0,0,0.0,0.0,,0,2,1,"{U09,U12} -> {U12,U19} -> {U08,U11}",0.569201,0.0,0.058824,0.0,0.0,0.058824,0.009392,0.00155,0.0
