seed_index,seed,world,detector_variant,detector,event_decoder,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,canonical_length3_supports,canonical_length3_support_min,canonical_length3_support_mass,canonical_length3_support_fraction,representation_gain,canonical_length3_ranks,canonical_length3_rank_worst,length3_motif_support_mass,length3_motif_count,top5_length3_patterns,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,expected_collapse,noncompressible_as_expected,1647,1447,518,,0.0,,0,0,0.0,0.0,,0,0,0,,0.571054,0.0,0.0,0.0,0.003333,-0.003333,0.008673,0.0,0.0
1,108,branch,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,459,319,50,45;48,0.75,45;48,45,93,0.9207920792079208,0.170792,2;1,2,101,6,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {C,D} | {A,B} -> {B,C,G} -> {B,C} | {B,C,G} -> {B,C} -> {C,D} | {A,B} -> {B,C} -> {B,C,E}",1.27604,0.27604,0.891892,0.829545,0.033708,0.858184,0.414544,0.564246,0.614286
1,108,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,429,289,30,56;54,0.9,56;54,54,110,1.0,0.1,1;2,2,110,2,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F}",1.200903,0.200903,0.952381,0.97619,0.011905,0.940476,0.492927,0.738255,0.75
1,108,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,430,290,32,56;54,0.9,56;54,54,110,0.9821428571428571,0.082143,1;2,2,112,3,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {B,E}",1.199613,0.199613,0.928571,0.952381,0.011628,0.916944,0.49509,0.746667,0.75
1,108,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,440,300,38,56;55,0.916667,56;55,55,111,0.925,0.008333,1;2,2,120,4,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,E} | {A,B} -> {A,B} -> {B,C}",0.5495,0.0,0.930233,0.942529,0.022989,0.907244,0.486657,0.745342,0.785714
1,108,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,failed,coverage_degradation;motif_loss;history_prediction_failure,564,424,86,42;41,0.683333,42;41,41,83,0.5496688741721855,-0.133664,1;2,2,151,24,"{A,B} -> {B,C} -> {C,D} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {A,B} -> {B,E} | {B,C} -> {C,D} -> {C,D} | {B,E} -> {E,F} -> {E,F}",0.793292,0.0,0.684211,0.725664,0.066667,0.617544,0.347771,0.53169,0.521429
1,108,overlap,sliding_window_low_threshold,sliding_window,none,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,649,449,62,45;50;46,0.75,45;50;46,45,141,0.9215686274509803,0.171569,3;1;2,3,153,9,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {E,F} -> {B,E,F} -> {E,F} | {A,B} -> {A,B,F} -> {B,C}",1.273466,0.273466,0.9,0.918699,0.008065,0.891935,0.450379,0.614458,0.68
1,108,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,degraded,overcapture_degradation;motif_degradation,609,409,32,54;55;51,0.85,54;55;51,51,160,1.0,0.15,2;1;3,3,160,3,"{A,B} -> {B,E} -> {E,F} | {A,B} -> {B,C} -> {E,F} | {A,B} -> {B,G} -> {E,F}",1.19991,0.19991,0.964286,0.957627,0.0,0.964286,0.517023,0.76555,0.81
1,108,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,degraded,overcapture_degradation;motif_degradation,604,404,34,56;56;52,0.866667,56;56;52,52,164,0.9879518072289156,0.121285,1;2;3,3,166,4,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {B,G} -> {B,E}",1.193592,0.193592,0.964286,0.965812,0.0,0.964286,0.534752,0.813725,0.82
1,108,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,failed,undercapture;motif_degradation;history_prediction_degradation,626,426,39,56;56;53,0.883333,56;56;53,53,165,0.9166666666666666,0.033334,1;2;3,3,180,6,"{A,B} -> {B,C} -> {E,F} | {A,B} -> {B,E} -> {E,F} | {A,B} -> {B,G} -> {E,F} | {A,B} -> {A,B} -> {B,C} | {A,B} -> {A,B} -> {B,G}",0.557762,0.0,0.916667,0.933884,0.040323,0.876344,0.524431,0.79646,0.815
