world,environment,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,score,event_count,motif_count,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,predictive_accuracy_delta,compressibility_index,transition_count,canonical_motif_supports,event_context_accuracy,collapsed_static_accuracy,recurring_three_event_window_fraction,repeated_episode_instance_fraction
branch,combined,sliding_window_default,sliding_window,none,2,failed,undercapture;motif_loss,0.403176,305,25,0.333333,0.599215,0.0,1.0,1.0,0.520627,166,25;20,0.886792,0.0,0.882353,0.856115
branch,combined,sliding_window_short,sliding_window,none,2,failed,coverage_degradation;motif_loss;history_prediction_degradation,0.487966,386,31,0.666667,0.706494,0.0,0.9,0.9,0.489705,246,40;40,0.875,0.0,0.733945,0.785714
branch,combined,sliding_window_long,sliding_window,none,2,failed,undercapture;motif_loss,0.295524,142,20,0.05,0.415119,0.0,1.0,1.0,0.475647,43,4;3,0.909091,0.0,1.0,0.848485
branch,combined,sliding_window_low_threshold,sliding_window,none,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,0.675936,454,52,0.733333,1.265645,0.265645,0.853659,0.853659,0.441996,314,44;50,0.852273,0.0,0.62069,0.664286
branch,combined,sliding_window_high_threshold,sliding_window,none,2,failed,undercapture;motif_loss,0.425999,317,23,0.4,0.629997,0.0,1.0,1.0,0.500874,179,24;24,0.843137,0.0,0.813559,0.862319
branch,combined,heu_default,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.246513,859,243,0.083333,0.892628,0.0,0.235772,0.235772,0.206779,719,7;5,0.374384,0.0,0.309154,0.035714
branch,combined,heu_fast_decay,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.247731,839,235,0.083333,0.899195,0.0,0.235294,0.235294,0.209994,699,5;8,0.376344,0.0,0.329159,0.0
branch,combined,heu_slow_decay,heu_like,none,2,failed,overcapture;motif_loss;history_prediction_failure,0.088744,1122,319,0.033333,1.750723,0.750723,0.152778,0.152778,0.162482,982,2;5,0.309804,0.0,0.231591,0.0
branch,combined,heu_high_commit,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.279884,854,215,0.15,0.898791,0.0,0.313131,0.313131,0.197036,714,9;14,0.356784,0.0,0.285714,0.078571
branch,combined,heu_low_commit,heu_like,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.170729,987,281,0.05,1.39332,0.39332,0.184466,0.184466,0.161703,847,3;5,0.233945,0.0,0.236209,0.0
branch,combined,hysteresis_default,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.239775,852,222,0.066667,0.89536,0.0,0.220183,0.220183,0.19478,712,4;13,0.348259,0.0,0.281469,0.035714
branch,combined,hysteresis_tight,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.250044,847,232,0.083333,0.89115,0.0,0.254902,0.254902,0.197172,707,5;8,0.338462,0.0,0.294533,0.014286
branch,combined,hysteresis_loose,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.269033,807,205,0.15,0.891707,0.0,0.265957,0.265957,0.205622,667,9;15,0.359116,0.0,0.290323,0.057143
branch,combined,hysteresis_low_threshold,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.235799,864,215,0.083333,0.89836,0.0,0.176471,0.176471,0.187159,724,13;5,0.34359,0.0,0.261986,0.05
branch,combined,hysteresis_high_threshold,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.263879,852,224,0.133333,0.893112,0.0,0.259615,0.259615,0.211543,712,12;8,0.384211,0.0,0.309441,0.035714
branch,combined,hybrid_default,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.481503,479,55,0.8,0.583984,0.0,0.823529,0.823529,0.414917,339,48;49,0.934783,0.0,0.58794,0.607143
branch,combined,hybrid_strict_local,hybrid_state_window,none,2,failed,undercapture;motif_loss;history_prediction_degradation,0.350983,371,48,0.416667,0.372011,0.0,0.862069,0.862069,0.445507,232,34;25,0.859155,0.0,0.728155,0.705036
branch,combined,hybrid_loose_local,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.472901,547,74,0.816667,0.59367,0.0,0.75,0.75,0.408249,407,49;51,0.817308,0.0,0.614232,0.571429
branch,combined,hybrid_fast_decay,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.48846,465,58,0.8,0.564251,0.0,0.878049,0.878049,0.455856,325,48;50,0.876404,0.0,0.675676,0.657143
branch,combined,hybrid_high_commit,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.483352,484,56,0.8,0.570605,0.0,0.846154,0.846154,0.423546,344,52;48,0.871287,0.0,0.602941,0.621429
branch,combined,union_default,union_state_window,none,2,failed,motif_loss;history_prediction_failure,0.255515,788,212,0.066667,1.03048,0.03048,0.224719,0.224719,0.192868,648,9;4,0.319767,0.0,0.277559,0.042857
branch,combined,union_fast_decay,union_state_window,none,2,failed,motif_loss;history_prediction_failure,0.256098,817,210,0.066667,1.047742,0.047742,0.244898,0.244898,0.185735,677,9;4,0.277487,0.0,0.260708,0.028571
branch,combined,union_high_commit,union_state_window,none,2,failed,motif_loss;history_prediction_failure,0.277924,801,213,0.116667,1.04946,0.04946,0.295918,0.290571,0.193777,661,13;7,0.357542,0.005348,0.28215,0.028571
branch,combined,union_low_threshold,union_state_window,none,2,failed,overcapture;motif_loss;history_prediction_failure,0.173644,790,198,0.133333,1.586907,0.586907,0.288462,0.288462,0.217688,650,10;8,0.388235,0.0,0.347059,0.057143
branch,combined,union_top_intensity_pair,union_state_window,top_intensity_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.380018,567,104,0.5,0.801663,0.0,0.492958,0.453895,0.32934,427,30;32,0.613445,0.039062,0.512195,0.45
branch,combined,union_frequent_subset_pair,union_state_window,frequent_subset_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.392231,590,99,0.516667,0.818827,0.0,0.527027,0.465958,0.331397,450,32;31,0.620968,0.061069,0.5,0.507143
branch,combined,union_consensus_pair,union_state_window,consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.39353,581,94,0.533333,0.812318,0.0,0.516667,0.460667,0.337256,441,32;35,0.637931,0.056,0.508306,0.478571
branch,combined,union_consensus_fast_decay,union_state_window,consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.401167,565,103,0.533333,0.814249,0.0,0.553846,0.495995,0.365312,425,32;39,0.637168,0.057851,0.57193,0.478571
branch,combined,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,0.746334,425,33,0.883333,1.198716,0.198716,0.95122,0.95122,0.506424,285,55;53,0.963855,0.0,0.772414,0.792857
branch,combined,hybrid_fast_consensus_pair,hybrid_state_window,consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.519018,436,32,0.9,0.56886,0.0,0.906977,0.895482,0.510378,296,54;56,0.952941,0.011494,0.782051,0.8
overlap,dropout,sliding_window_default,sliding_window,none,2,failed,coverage_degradation;motif_loss,0.449878,438,24,0.383333,0.770223,0.0,1.0,1.0,0.536578,243,27;25;23,0.857143,0.0,0.914634,0.902564
overlap,dropout,sliding_window_short,sliding_window,none,2,failed,coverage_degradation;motif_loss,0.548029,533,28,0.683333,0.88598,0.0,1.0,1.0,0.558678,333,44;43;41,0.917526,0.0,0.907801,0.9
overlap,dropout,sliding_window_long,sliding_window,none,2,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0.106597,199,17,0.0,0.532983,0.0,0.0,0.0,0.322418,58,2;0;0,0.636364,0.0,0.5,0.900709
overlap,dropout,sliding_window_low_threshold,sliding_window,none,2,failed,overcapture,0.537402,595,35,0.966667,1.521323,0.521323,1.0,1.0,0.564522,395,58;59;58,1.0,0.0,0.897436,0.885
overlap,dropout,sliding_window_high_threshold,sliding_window,none,2,failed,coverage_degradation;motif_loss,0.431065,431,26,0.3,0.780326,0.0,1.0,1.0,0.534988,236,26;18;23,0.868421,0.0,0.893333,0.892308
overlap,dropout,heu_default,heu_like,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.760413,655,48,0.883333,0.948755,0.0,0.918919,0.829367,0.555388,455,56;53;54,0.947761,0.089552,0.901961,0.88
overlap,dropout,heu_fast_decay,heu_like,none,2,degraded,motif_degradation;history_prediction_degradation,0.761677,638,48,0.883333,0.956143,0.0,0.9,0.846154,0.56267,438,56;53;56,0.946154,0.053846,0.903361,0.9
overlap,dropout,heu_slow_decay,heu_like,none,2,failed,overcapture,0.510449,599,29,0.983333,1.676919,0.676919,1.0,1.0,0.57718,399,60;60;59,1.0,0.0,0.899497,0.895
overlap,dropout,heu_high_commit,heu_like,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.752044,656,53,0.9,0.946874,0.0,0.857143,0.769552,0.55287,456,54;54;55,0.919708,0.087591,0.902344,0.895
overlap,dropout,heu_low_commit,heu_like,none,2,degraded,overcapture_degradation,0.759466,600,30,1.0,1.327672,0.327672,1.0,1.0,0.571466,400,60;60;60,1.0,0.0,0.9,0.9
overlap,dropout,hysteresis_default,hysteresis,none,2,degraded,motif_degradation;history_prediction_degradation,0.768785,640,46,0.916667,0.950015,0.0,0.9,0.846154,0.555977,440,59;55;55,0.938462,0.053846,0.883333,0.88
overlap,dropout,hysteresis_tight,hysteresis,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.747346,643,45,0.883333,0.949123,0.0,0.844156,0.772727,0.565339,443,53;54;57,0.907143,0.071429,0.909465,0.88
overlap,dropout,hysteresis_loose,hysteresis,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.762425,638,47,0.9,0.949489,0.0,0.885714,0.83956,0.554767,438,54;54;56,0.938462,0.046154,0.890756,0.885
overlap,dropout,hysteresis_low_threshold,hysteresis,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.743841,656,49,0.866667,0.943873,0.0,0.857143,0.776851,0.558346,456,52;54;56,0.890511,0.080292,0.910156,0.88
overlap,dropout,hysteresis_high_threshold,hysteresis,none,2,degraded,motif_degradation;history_prediction_degradation,0.750894,661,44,0.883333,0.959808,0.0,0.858974,0.772018,0.570854,461,56;53;57,0.913043,0.086957,0.927203,0.87
overlap,dropout,hybrid_default,hybrid_state_window,none,2,degraded,coverage_degradation;history_prediction_degradation,0.743367,608,32,0.966667,0.71441,0.0,0.935484,0.902697,0.568902,408,58;59;58,0.95082,0.032787,0.889423,0.89
overlap,dropout,hybrid_strict_local,hybrid_state_window,none,2,failed,undercapture;motif_loss,0.409476,491,28,0.466667,0.464047,0.0,1.0,1.0,0.548907,291,28;37;35,0.880952,0.0,0.909091,0.88
overlap,dropout,hybrid_loose_local,hybrid_state_window,none,2,degraded,coverage_degradation;motif_degradation,0.738252,608,36,0.916667,0.719743,0.0,0.967213,0.934155,0.565725,408,55;59;59,0.942149,0.033058,0.899038,0.89
overlap,dropout,hybrid_fast_decay,hybrid_state_window,none,2,degraded,coverage_degradation;motif_degradation,0.731535,601,33,0.916667,0.707908,0.0,0.953125,0.904738,0.567732,401,56;58;55,0.943548,0.048387,0.900498,0.89
overlap,dropout,hybrid_high_commit,hybrid_state_window,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.711308,614,33,0.933333,0.708809,0.0,0.852941,0.759191,0.569877,414,59;56;57,0.898438,0.09375,0.897196,0.89
overlap,dropout,union_default,union_state_window,none,2,degraded,coverage_degradation;motif_degradation;history_prediction_degradation,0.740464,658,50,0.85,0.949093,0.0,0.848101,0.783353,0.563529,458,54;51;54,0.892086,0.064748,0.918605,0.89
overlap,dropout,union_fast_decay,union_state_window,none,2,degraded,motif_degradation;history_prediction_degradation,0.77465,644,49,0.9,0.95551,0.0,0.941176,0.894301,0.557336,444,56;58;54,0.96875,0.046875,0.893443,0.89
overlap,dropout,union_high_commit,union_state_window,none,2,degraded,motif_degradation;history_prediction_degradation,0.746803,654,46,0.866667,0.954492,0.0,0.860759,0.781623,0.556988,454,56;52;55,0.920863,0.079137,0.897638,0.885
overlap,dropout,union_low_threshold,union_state_window,none,2,failed,overcapture,0.547345,599,28,1.0,1.513277,0.513277,1.0,1.0,0.573767,399,60;60;60,1.0,0.0,0.904523,0.9
overlap,dropout,union_top_intensity_pair,union_state_window,top_intensity_pair,2,degraded,motif_degradation;history_prediction_degradation,0.761264,646,51,0.866667,0.954321,0.0,0.913043,0.874284,0.551104,446,57;52;54,0.945736,0.03876,0.894309,0.875
overlap,dropout,union_frequent_subset_pair,union_state_window,frequent_subset_pair,2,degraded,motif_degradation;history_prediction_degradation,0.750671,649,48,0.866667,0.950205,0.0,0.881579,0.80805,0.556351,449,53;52;54,0.933824,0.073529,0.907631,0.87
overlap,dropout,union_consensus_pair,union_state_window,consensus_pair,2,degraded,motif_degradation;history_prediction_degradation,0.758095,648,49,0.9,0.951155,0.0,0.883117,0.795526,0.55461,448,55;54;55,0.927007,0.087591,0.891129,0.885
overlap,dropout,union_consensus_fast_decay,union_state_window,consensus_pair,2,degraded,motif_degradation;history_prediction_degradation,0.757124,654,48,0.883333,0.952159,0.0,0.894737,0.813854,0.558506,454,54;57;53,0.926471,0.080882,0.905512,0.875
overlap,dropout,sliding_low_consensus_pair,sliding_window,consensus_pair,2,failed,overcapture;motif_degradation,0.528055,589,32,0.916667,1.505559,0.505559,1.0,1.0,0.56999,389,57;58;55,1.0,0.0,0.899471,0.89
overlap,dropout,hybrid_fast_consensus_pair,hybrid_state_window,consensus_pair,2,degraded,coverage_degradation;history_prediction_degradation,0.736268,614,35,0.95,0.707944,0.0,0.935484,0.886304,0.57138,414,57;58;58,0.942623,0.04918,0.911215,0.895
overlap,spurious,sliding_window_default,sliding_window,none,2,degraded,coverage_degradation,0.77303,600,30,0.966667,0.781818,0.0,1.0,1.0,0.571343,400,60;58;60,0.991597,0.0,0.89,0.89
overlap,spurious,sliding_window_short,sliding_window,none,2,degraded,coverage_degradation;motif_degradation,0.759692,619,39,0.9,0.802526,0.0,1.0,0.99187,0.537737,419,56;58;54,0.983333,0.00813,0.785388,0.815
overlap,spurious,sliding_window_long,sliding_window,none,2,failed,undercapture;motif_loss,0.320622,274,23,0.05,0.54061,0.0,1.0,1.0,0.467983,102,6;3;7,0.727273,0.0,0.8,0.877907
overlap,spurious,sliding_window_low_threshold,sliding_window,none,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,0.685499,653,66,0.783333,1.308128,0.308128,0.885246,0.87767,0.479634,453,51;47;55,0.888,0.007576,0.675889,0.745
overlap,spurious,sliding_window_high_threshold,sliding_window,none,2,degraded,coverage_degradation,0.776596,599,29,0.966667,0.799645,0.0,1.0,1.0,0.571339,399,58;60;59,0.991525,0.0,0.889447,0.885
overlap,spurious,heu_default,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.265426,1185,297,0.116667,0.921178,0.0,0.260116,0.260116,0.257923,985,7;8;9,0.442379,0.0,0.392357,0.05
overlap,spurious,heu_fast_decay,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.275143,1209,280,0.15,0.927552,0.0,0.262295,0.259027,0.248707,1009,9;10;13,0.402027,0.003268,0.357231,0.05
overlap,spurious,heu_slow_decay,heu_like,none,2,failed,overcapture;motif_loss;history_prediction_failure,0.120434,1541,424,0.066667,1.714721,0.714721,0.234783,0.232332,0.214891,1341,4;6;5,0.266497,0.002451,0.319895,0.0
overlap,spurious,heu_high_commit,heu_like,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.282637,1180,286,0.166667,0.923244,0.0,0.281609,0.281609,0.270393,980,13;10;14,0.446043,0.0,0.417949,0.045
overlap,spurious,heu_low_commit,heu_like,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.16732,1438,359,0.033333,1.380456,0.380456,0.176796,0.173979,0.182216,1238,5;2;4,0.243976,0.002817,0.244701,0.02
overlap,spurious,hysteresis_default,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.274857,1225,291,0.133333,0.931755,0.0,0.275862,0.275862,0.241526,1025,10;8;8,0.399293,0.0,0.352727,0.045
overlap,spurious,hysteresis_tight,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.273375,1221,291,0.15,0.932482,0.0,0.248555,0.245233,0.247626,1021,10;12;9,0.386282,0.003322,0.36419,0.065
overlap,spurious,hysteresis_loose,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.277259,1233,298,0.1,0.929775,0.0,0.331522,0.331522,0.268668,1033,13;8;6,0.411565,0.0,0.408163,0.065
