world,environment,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,score,event_count,motif_count,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,predictive_accuracy_delta,compressibility_index,transition_count,canonical_motif_supports,event_context_accuracy,collapsed_static_accuracy,recurring_three_event_window_fraction,repeated_episode_instance_fraction
overlap,combined,heu_low_commit,heu_like,none,2,failed,overcapture_degradation;motif_loss;history_prediction_failure,0.170577,1421,356,0.05,1.401412,0.401412,0.193069,0.190525,0.169763,1221,3;3;7,0.263006,0.002545,0.228208,0.01
overlap,combined,hysteresis_default,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.24746,1233,308,0.083333,0.89784,0.0,0.235294,0.235294,0.236817,1033,11;5;8,0.328671,0.0,0.340936,0.035
overlap,combined,hysteresis_tight,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.240659,1194,303,0.05,0.895512,0.0,0.245283,0.245283,0.245103,994,3;9;9,0.343284,0.0,0.365239,0.03
overlap,combined,hysteresis_loose,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.244476,1207,307,0.116667,0.894157,0.0,0.18239,0.18239,0.236264,1007,9;7;8,0.351916,0.0,0.340768,0.055
overlap,combined,hysteresis_low_threshold,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.258141,1195,282,0.1,0.895966,0.0,0.269737,0.269737,0.234499,995,6;8;16,0.425373,0.0,0.328302,0.05
overlap,combined,hysteresis_high_threshold,hysteresis,none,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.274588,1205,296,0.166667,0.895857,0.0,0.26875,0.26875,0.237682,1005,12;15;10,0.365672,0.0,0.344099,0.06
overlap,combined,hybrid_default,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_failure,0.4445,686,77,0.766667,0.569723,0.0,0.694444,0.694444,0.458088,486,49;48;46,0.851852,0.0,0.681818,0.655
overlap,combined,hybrid_strict_local,hybrid_state_window,none,2,failed,undercapture;motif_loss;history_prediction_degradation,0.396031,550,49,0.583333,0.383065,0.0,0.867925,0.867925,0.5139,350,35;35;36,0.884615,0.0,0.825,0.77
overlap,combined,hybrid_loose_local,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_failure,0.447052,776,95,0.766667,0.603243,0.0,0.673684,0.673684,0.438117,576,46;49;52,0.779762,0.0,0.662234,0.575
overlap,combined,hybrid_fast_decay,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.448826,712,95,0.766667,0.580667,0.0,0.705128,0.705128,0.445765,512,48;46;47,0.852113,0.0,0.660256,0.635
overlap,combined,hybrid_high_commit,hybrid_state_window,none,2,failed,undercapture;motif_degradation;history_prediction_degradation,0.453264,686,72,0.75,0.570754,0.0,0.758065,0.758065,0.437847,486,45;47;51,0.84127,0.0,0.618881,0.63
overlap,combined,union_default,union_state_window,none,2,failed,motif_loss;history_prediction_failure,0.242434,1165,275,0.066667,1.059973,0.059973,0.188811,0.188811,0.203247,965,4;10;4,0.264151,0.0,0.261438,0.045
overlap,combined,union_fast_decay,union_state_window,none,2,failed,motif_loss;history_prediction_failure,0.258886,1123,269,0.116667,1.042193,0.042193,0.190789,0.190789,0.214911,923,7;11;8,0.334646,0.0,0.286307,0.055
overlap,combined,union_high_commit,union_state_window,none,2,failed,motif_loss;history_prediction_failure,0.276027,1149,276,0.1,1.05885,0.05885,0.315789,0.312179,0.218387,949,9;7;6,0.344697,0.00361,0.312417,0.05
overlap,combined,union_low_threshold,union_state_window,none,2,failed,overcapture;motif_loss;history_prediction_failure,0.146595,1152,268,0.083333,1.597219,0.597219,0.226027,0.226027,0.216986,952,6;5;8,0.320312,0.0,0.31383,0.035
overlap,combined,union_top_intensity_pair,union_state_window,top_intensity_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.337548,819,153,0.383333,0.813938,0.0,0.424528,0.364746,0.352534,619,23;31;26,0.59322,0.059783,0.575179,0.465
overlap,combined,union_frequent_subset_pair,union_state_window,frequent_subset_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.390147,820,135,0.5,0.811509,0.0,0.546392,0.482064,0.373495,620,30;37;38,0.648485,0.064327,0.561905,0.545
overlap,combined,union_consensus_pair,union_state_window,consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.364651,834,138,0.433333,0.80188,0.0,0.525862,0.433554,0.379427,634,26;36;32,0.629834,0.092308,0.576037,0.47
overlap,combined,union_consensus_fast_decay,union_state_window,consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,0.373488,834,141,0.483333,0.808933,0.0,0.491379,0.417305,0.390279,634,34;40;29,0.603261,0.074074,0.605991,0.545
overlap,combined,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,0.753256,613,42,0.9,1.199821,0.199821,0.966102,0.966102,0.532737,413,54;55;55,0.957983,0.0,0.816901,0.84
overlap,combined,hybrid_fast_consensus_pair,hybrid_state_window,consensus_pair,2,failed,undercapture;motif_degradation,0.519138,628,40,0.866667,0.564615,0.0,0.967742,0.927742,0.523916,428,58;54;52,0.935484,0.04,0.789474,0.8
