seed_index,seed,world,detector_variant,detector,event_decoder,decoder_subset_size,status,failure_modes,event_count,transition_count,motif_count,motif_support_mass,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,compressibility_index,recurring_three_event_window_fraction,repeated_episode_instance_fraction
0,7,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1647,1447,518,1506.0,,0.0,0.571054,0.0,0.0,0.0,0.003333,-0.003333,0.008673,0.0,0.0
0,7,hostile_unique,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1632,1432,516,1466.0,,0.0,0.567993,0.0,0.0,0.0,0.003534,-0.003534,0.00772,0.0,0.0
0,7,hostile_unique,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1638,1438,525,1447.0,,0.0,0.569305,0.0,0.0,0.0,0.0,0.0,0.00688,0.0,0.0
0,7,hostile_unique,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1649,1449,522,1514.0,,0.0,0.571491,0.0,0.0,0.0,0.003367,-0.003367,0.008685,0.0,0.0
1,108,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,429,289,30,769.0,56;54,0.9,1.200903,0.200903,0.952381,0.97619,0.011905,0.940476,0.492927,0.738255,0.75
1,108,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,430,290,32,774.0,56;54,0.9,1.199613,0.199613,0.928571,0.952381,0.011628,0.916944,0.49509,0.746667,0.75
1,108,branch,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,436,296,36,784.0,56;53,0.883333,1.207997,0.207997,0.928571,0.952381,0.011628,0.916944,0.475635,0.711538,0.714286
1,108,branch,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation;history_prediction_degradation,437,297,36,780.0,54;53,0.883333,1.209287,0.209287,0.926829,0.951807,0.0,0.926829,0.465713,0.694268,0.692857
1,108,branch,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,440,300,38,809.0,56;55,0.916667,0.5495,0.0,0.930233,0.942529,0.022989,0.907244,0.486657,0.745342,0.785714
1,108,branch,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,564,424,86,1026.0,42;41,0.683333,0.793292,0.0,0.684211,0.725664,0.066667,0.617544,0.347771,0.53169,0.521429
1,108,branch,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,560,420,84,1017.0,42;41,0.683333,0.791358,0.0,0.696429,0.725664,0.066667,0.629762,0.351243,0.539286,0.521429
1,108,branch,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,597,457,100,1129.0,38;37,0.616667,0.814576,0.0,0.608108,0.694656,0.044444,0.563664,0.34967,0.583596,0.421429
1,108,branch,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,564,424,86,1026.0,42;41,0.683333,0.793292,0.0,0.684211,0.725664,0.066667,0.617544,0.347771,0.53169,0.521429
1,108,overlap,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,609,409,32,1111.0,54;55;51,0.85,1.19991,0.19991,0.964286,0.957627,0.0,0.964286,0.517023,0.76555,0.81
1,108,overlap,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,604,404,34,1115.0,56;56;52,0.866667,1.193592,0.193592,0.964286,0.965812,0.0,0.964286,0.534752,0.813725,0.82
1,108,overlap,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,611,411,38,1124.0,55;56;51,0.85,1.200812,0.200812,0.964286,0.965812,0.0,0.964286,0.516779,0.777251,0.795
1,108,overlap,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,614,414,43,1130.0,53;55;51,0.85,1.20352,0.20352,0.964286,0.965812,0.0,0.964286,0.510398,0.771028,0.785
1,108,overlap,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,failed,undercapture;motif_degradation;history_prediction_degradation,626,426,39,1169.0,56;56;53,0.883333,0.557762,0.0,0.916667,0.933884,0.040323,0.876344,0.524431,0.79646,0.815
1,108,overlap,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,790,590,117,1493.0,39;44;47,0.65,0.798285,0.0,0.604396,0.716981,0.076923,0.527473,0.381192,0.574359,0.53
1,108,overlap,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,789,589,115,1485.0,39;44;46,0.65,0.797834,0.0,0.604396,0.716981,0.076923,0.527473,0.377711,0.568123,0.53
1,108,overlap,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,822,622,132,1586.0,35;42;41,0.583333,0.810921,0.0,0.60396,0.720238,0.05618,0.547781,0.372114,0.597156,0.465
1,108,overlap,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,failed,coverage_degradation;motif_loss;history_prediction_failure,790,590,117,1493.0,39;44;47,0.65,0.798285,0.0,0.604396,0.716981,0.076923,0.527473,0.381192,0.574359,0.53
1,108,hostile_unique,sliding_low_consensus_pair,sliding_window,consensus_pair,2,expected_collapse,noncompressible_as_expected,799,599,141,353.0,,0.0,0.684337,0.0,0.0,0.0,0.0,0.0,0.006155,0.0,0.0
1,108,hostile_unique,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,749,549,125,280.0,,0.0,0.660777,0.0,0.0,0.0,0.0,0.0,0.004149,0.0,0.0
1,108,hostile_unique,sliding_low_temporal_high_penalty,sliding_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,746,546,124,270.0,,0.0,0.659468,0.0,0.0,0.0,0.0,0.0,0.00364,0.0,0.0
1,108,hostile_unique,sliding_low_temporal_weak_recurrence,sliding_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,739,539,107,223.0,,0.0,0.656414,0.0,0.0,0.0,0.0,0.0,0.002757,0.0,0.0
1,108,hostile_unique,hybrid_fast_temporal_consensus_pair,hybrid_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,788,588,135,334.0,,0.0,0.286213,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0
1,108,hostile_unique,union_temporal_consensus_pair,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1712,1512,521,1556.0,,0.0,0.57199,0.0,0.0,0.0,0.0,0.0,0.008599,0.0,0.0
1,108,hostile_unique,union_temporal_high_penalty,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1698,1498,539,1538.0,,0.0,0.571117,0.0,0.0,0.0,0.0,0.0,0.007669,0.001541,0.0
1,108,hostile_unique,union_temporal_weak_recurrence,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1712,1512,553,1544.0,,0.0,0.573735,0.0,0.0,0.0,0.003311,-0.003311,0.006595,0.0,0.0
1,108,hostile_unique,union_temporal_consensus_fast_decay,union_state_window,temporal_consensus_pair,2,expected_collapse,noncompressible_as_expected,1718,1518,523,1565.0,,0.0,0.573517,0.0,0.0,0.0,0.0,0.0,0.008666,0.0,0.0
2,209,branch,sliding_low_consensus_pair,sliding_window,consensus_pair,2,degraded,overcapture_degradation;motif_degradation,437,297,42,792.0,53;51,0.85,1.206754,0.206754,0.95122,0.952381,0.0,0.95122,0.479954,0.738854,0.778571
2,209,branch,sliding_low_temporal_consensus_pair,sliding_window,temporal_consensus_pair,2,degraded,overcapture_degradation;motif_degradation,429,289,35,773.0,53;54,0.883333,1.198471,0.198471,0.975,0.975904,0.0,0.975,0.489828,0.744966,0.778571
