pattern,support,variants,predicted_next_events,contexts,outcomes
"{U05,U23}",2,"{U05,U08,U16,U23,U27,U36}:1","{U05,U08,U16,U23,U27,U36}",CTX_0066:1;CTX_0126:1,OUT_0066:1;OUT_0126:1
"{U09,U33}",2,"{U09,U11,U21,U23,U33,U34}:1;{U06,U26,U33,U37,U39}:1","{U09,U11,U21,U23,U33,U34};{U06,U26,U33,U37,U39}",CTX_0067:1;CTX_0088:1,OUT_0067:1;OUT_0088:1
"{U22,U30}",2,"{U30,U38}:1;{U07,U11,U22,U30}:1","{U30,U38};{U07,U11,U22,U30}",CTX_0069:1;CTX_0156:1,OUT_0069:1;OUT_0156:1
"{U01,U17}",2,"{U01,U03,U17,U26,U27}:1;{U07,U17,U20}:1","{U01,U03,U17,U26,U27};{U07,U17,U20}",CTX_0069:1;CTX_0138:1,OUT_0069:1;OUT_0138:1
"{U20,U28}",2,"{U12,U13,U20,U28,U38}:1","{U12,U13,U20,U28,U38}",CTX_0069:1;CTX_0140:1,OUT_0069:1;OUT_0140:1
"{U00,U04}",2,"{U00,U07,U26}:1;{U00,U21,U35}:1","{U00,U07,U26};{U00,U21,U35}",CTX_0070:1;CTX_0115:1,OUT_0070:1;OUT_0115:1
"{U15,U24}",2,"{U00,U24,U32}:1;{U15,U24,U32}:1","{U00,U24,U32};{U15,U24,U32}",CTX_0071:1;CTX_0119:1,OUT_0071:1;OUT_0119:1
"{U08,U39}",2,"{U08,U12,U18,U23,U39}:1;{U00,U15,U19,U21}:1","{U08,U12,U18,U23,U39};{U00,U15,U19,U21}",CTX_0072:1;CTX_0199:1,OUT_0072:1;OUT_0199:1
"{U01,U14}",2,"{U21,U36}:1;{U01,U14,U19}:1","{U21,U36};{U01,U14,U19}",CTX_0073:1;CTX_0127:1,OUT_0073:1;OUT_0127:1
"{U01,U07,U33}",2,"{U07,U21}:1;{U19,U33}:1","{U07,U21};{U19,U33}",CTX_0073:2,OUT_0073:2
"{U07,U21}",2,"{U01,U07,U33}:1;{U07,U12,U21,U33,U34,U39}:1","{U01,U07,U33};{U07,U12,U21,U33,U34,U39}",CTX_0073:1;CTX_0102:1,OUT_0073:1;OUT_0102:1
"{U19,U33}",2,"{U10,U31,U37}:1;{U19,U26,U30,U33}:1","{U10,U31,U37};{U19,U26,U30,U33}",CTX_0073:1;CTX_0122:1,OUT_0073:1;OUT_0122:1
"{U10,U31,U37}",2,"{U10,U37}:1","{U10,U37}",CTX_0073:1;CTX_0189:1,OUT_0073:1;OUT_0189:1
"{U21,U32}",2,"{U04,U19,U30,U32,U36}:1;{U04,U05,U19,U21,U32}:1","{U04,U19,U30,U32,U36};{U04,U05,U19,U21,U32}",CTX_0074:1;CTX_0193:1,OUT_0074:1;OUT_0193:1
"{U08,U10}",2,"{U00,U06,U14,U39}:1;{U08,U10,U33,U35}:1","{U00,U06,U14,U39};{U08,U10,U33,U35}",CTX_0074:1;CTX_0094:1,OUT_0074:1;OUT_0094:1
"{U19,U21}",2,"{U16,U34}:1;{U19,U21,U26}:1","{U16,U34};{U19,U21,U26}",CTX_0075:1;CTX_0199:1,OUT_0075:1;OUT_0199:1
